doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
270,-1.594987816409552,-0.461605879305011,-1.5418810122382214,-0.16879151137396295,118,120,6
271,-1.5908453819727373,-0.45750768624629135,-1.5414738661798435,-0.16879151137396295,121,120,6
272,-1.58643101022403,-0.4533391916892279,-1.541852405232981,-0.16879151137396295,118,120,6
273,-1.581748950374293,-0.4491013994584774,-1.5440260668726669,-0.16879151137396295,118,120,6
274,-1.5768037639498167,-0.4447954546114098,-1.5440260668726669,-0.22158523053368473,118,120,6
275,-1.5716003196976427,-0.44042264322305236,-1.5440356025410802,-0.14233295459168577,117,120,6
276,-1.5661437881296234,-0.43598439198692984,-1.5440451382094937,-0.09350063391783196,116,120,6
277,-1.560439635711564,-0.43148226763193903,-1.5749800855946183,-0.08513256003466395,116,120,6
278,-1.5544936187042093,-0.4269179761556229,-1.5626633206510496,-0.14517843478070416,118,120,6
279,-1.5483117766632586,-0.42229336187442934,-1.5749800855946183,-0.14517843478070416,116,120,6
280,-1.5419004256059772,-0.4176104062917616,-1.5688217031228338,-0.3408199072858553,117,120,6
281,-1.5352661508523828,-0.4128712267848464,-1.5440451382094937,-0.22901109894333382,116,120,6
282,-1.5284157995493568,-0.40807807511166805,-1.5440356025410802,-0.14517843478070416,117,120,6
283,-1.52135647288641,-0.4032333357394317,-1.563963890008928,-0.14517843478070416,119,120,6
284,-1.5140955180121896,-0.3983395239962364,-1.5837396067821596,-0.18093866438906564,117,120,6
285,-1.5066405196611812,-0.3933992840478546,-1.5540760316223123,-0.38808733609924323,120,120,6
286,-1.498999291500376,-0.38841538670172243,-1.5540760316223123,-0.38808733609924323,120,120,6
